date,MS-Pos,MS-Neg,MS-Amb,MS-Neu,ME-Ang,ME-Dis,ME-Fea,ME-Joy,ME-Sad,ME-Sur,ME-Neu,M-NST,M-ST,GH-Death,GH-Injure
2017-10-31,0.124348571805528,0.2170987532159112,0.0026386964839369,0.6559139784946236,0.0605580843063526,0.0011214460056731,0.0104228511115508,0.1800250676165974,0.0423510785671878,0.0982914440266508,0.6072300283659872,0.7342832640675506,0.2657167359324494,56.0,224.0
2017-11-30,0.1222127048161145,0.1990273824984112,0.0022657566798375,0.6764941560056368,0.0418059738609046,0.0013262965930756,0.0160260838329971,0.1824763062639882,0.0334060954380923,0.1049432179271089,0.620016026083833,0.7534469895830455,0.2465530104169545,45.0,239.0
2017-12-31,0.1037284401142975,0.2448445622611629,0.0024443143870279,0.6489826832375116,0.0571831858711743,0.0017557751230763,0.0113953248183977,0.1792956243329775,0.0403139739043618,0.1139876751471752,0.5960684408028368,0.7430027197300926,0.2569972802699073,60.0,255.0
2018-01-31,0.0965367728771565,0.2695888214825745,0.0023318941174327,0.6315425115228361,0.0551820881383104,0.0016760488969047,0.0122060082709369,0.1529394618425607,0.0249585542256472,0.1169590643274853,0.6360787742981545,0.7462789892696434,0.2537210107303565,88.0,336.0
2018-02-28,0.0938876356214416,0.2881190245998496,0.001998066387367,0.6159952733913417,0.0636265979159952,0.0012890750886239,0.0118917176925555,0.163508432699538,0.0353206574282952,0.1183800623052959,0.6059834568696961,0.7280803523471909,0.2719196476528091,60.0,299.0
2018-03-31,0.1107047630148762,0.2607054915273993,0.0030451823466845,0.6255445631110399,0.0562265965351944,0.0014278845453353,0.0107382745909402,0.1662028470269403,0.0256145003132603,0.1246484927075896,0.6151414042807396,0.7448020631474656,0.2551979368525345,82.0,333.0
2018-04-30,0.1345067491229113,0.2295098214108739,0.003686745555093,0.6322966839111217,0.0460446770133396,0.0016649818635904,0.0105845275613962,0.1866761808487443,0.0235872430675308,0.1009296148738379,0.6305127747715605,0.7601435055796714,0.2398564944203286,91.0,319.0
2018-05-31,0.1191725352112676,0.220669014084507,0.003362676056338,0.6567957746478873,0.0473591549295774,0.0013556338028169,0.0095246478873239,0.1596478873239436,0.0213028169014084,0.1094366197183098,0.6513732394366197,0.7630809859154929,0.236919014084507,89.0,384.0
2018-06-30,0.1098808481102609,0.2499876055593198,0.0033217101022954,0.6368098362281238,0.0584687081687627,0.001702169853415,0.0106592189849779,0.1660689791938655,0.0244583629422749,0.109847796268447,0.6287947645882567,0.7428401447670672,0.2571598552329328,106.0,395.0
2018-07-31,0.1149019823990887,0.2150324275661871,0.0033438056918187,0.6667217843429054,0.0449576512520898,0.0011390986422679,0.0108765547777839,0.1732348564184534,0.0263278766833856,0.0986790130261441,0.6447849491998751,0.7493799261423139,0.2506200738576861,88.0,456.0
